BugStationID,Latitude,Longitude,Year,Med_IBI_Score,Med_IBI_Threshold,Index_Nar,DistCat_Tt,Med_NOx_mgL,Med_TP_mgL,Med_TKN_mgL,Med_NO3_mgL,Med_TN_mgL,Med_NO2_mgL,Med_Chla_uncorr,Med_NH3_mgL,Med_PO4_mgL
02-ISR,44.48792,-71.56961,2017,69.40100879,64.5,Above_Threshold,Ref,0.0825,0.0116,0.08,0.065,,0.002,,,
02-ISR,44.48792,-71.56961,2018,70.18210752,64.5,Above_Threshold,Ref,0.087,0.0131,0.08,0.083,,0.002,,,
02-JHN,44.407378,-71.631755,2011,78.24962314,64.5,Above_Threshold,Non-Ref,0.23,0.0735,0.285,0.21,,0.005,,,
02-MNB,42.907497,-71.28812,2012,60.81691279,59,Above_Threshold,Non-Ref,0.084,0.02425,0.47,0.079,,0.005,,,
02-SHK,42.866826,-72.188227,2018,70.73190383,63.68,Above_Threshold,Non-Ref,0.002,0.0208,0.37,0.003,,0.002,,,
02-WIL,43.29209,-70.9708,2011,33.66728114,59,Below_Threshold,Non-Ref,0.47,0.042,0.38,0.47,,0.005,,,
02E-NSR,43.41573,-72.18037,2013,57.50936891,64.5,Below_Threshold,Non-Ref,0.011,0.0123,0.1625,0.011,,0.004,1.425,,
02E-NSR,43.41573,-72.18037,2014,62.86191272,64.5,Below_Threshold,Non-Ref,0.055,0.0103,0.31,0.052,,0.004,,,
02E-NSR,43.41573,-72.18037,2015,72.66666534,64.5,Above_Threshold,Non-Ref,0.0605,0.009475,0.315,0.057,,0.004,,,
02E-NSR,43.41573,-72.18037,2016,77.27179485,64.5,Above_Threshold,Non-Ref,0.0375,0.00997,0.164,0.06,,0.004,,,
02E-NSR,43.41573,-72.18037,2017,82.07523445,64.5,Above_Threshold,Non-Ref,0.064,0.01235,0.08,0.05,,0.002,,,
02E-NSR,43.41573,-72.18037,2018,71.39087278,64.5,Above_Threshold,Non-Ref,0.065,0.01194,0.08,0.0605,,0.002,,,
02H-PBD,44.359787,-71.185503,2010,64.16775284,68.25,Below_Threshold,Ref,0.065,7.00E-04,0.07,0.063,,0.005,,,
02H-PBD,44.359787,-71.185503,2014,72.7183901,68.25,Above_Threshold,Ref,0.0865,5.00E-04,,0.0855,,0.004,,,
03-AMM,44.154745,-71.981903,2013,56.2645468,62.46,Below_Threshold,Non-Ref,0.054,0.008835,0.015,0.052,,0.004,,,
03-AMM,44.154745,-71.981903,2014,74.73961251,62.46,Above_Threshold,Non-Ref,0.1065,0.0111,0.83,0.068,0.27,0.004,,,
03-AMM,44.154745,-71.981903,2015,67.84252722,62.46,Above_Threshold,Non-Ref,0.011,0.0161,0.27,0.058,,0.004,0.8,,
03-AMM,44.154745,-71.981903,2016,67.01607675,62.46,Above_Threshold,Non-Ref,0.0305,0.01595,0.164,0.011,,0.004,,,
03-AMM,44.154745,-71.981903,2018,66.68611755,62.46,Above_Threshold,Non-Ref,0.089,0.009335,0.08,0.0865,,0.002,,,
03-AMY,43.192231,-71.821194,2018,68.66898396,61.7,Above_Threshold,Ref,0.12,0.0152,0.27,0.11,,0.002,,,
03-BMB,43.154466,-72.403736,2012,35.02311642,61.75,Below_Threshold,Non-Ref,0.7,0.0875,0.66,0.69,,0.005,,,
03-BRT,43.357107,-71.602709,2013,76.01399614,61.75,Above_Threshold,Non-Ref,0.0325,0.0112,0.265,,,,,,
03-HAM,44.214459,-71.751172,2014,78.39695875,64.5,Above_Threshold,Ref,0.089,0.00836,,0.112,,0.004,0.7,,
03-MLN,42.740937,-71.963803,2013,59.43196762,64.48,Below_Threshold,Non-Ref,0.011,0.0284,0.4,,,,,,
03-PIS,43.068981,-70.961932,2017,53.30618516,59,Below_Threshold,Non-Ref,0.11,0.0371,0.55,0.093,,0.002,,,
03-SSR,43.326348,-72.174182,2018,74.01342727,64.5,Above_Threshold,Non-Ref,0.25,0.0082,0.08,0.25,,0.002,,,
03-SWF,43.998707,-71.226876,2010,53.54102786,64.5,Below_Threshold,Ref,0.081,7.00E-04,0.07,0.08,,0.005,,,
03M-01,42.85176,-71.548449,2003,55.58584304,59,Below_Threshold,Non-Ref,,0.076,,,,,,,
03M-03,42.85176,-71.548449,2003,51.52330935,59,Below_Threshold,Non-Ref,,0.076,,,,,,,
03P-JHN,44.375767,-71.620975,2014,75.2470311,64.5,Above_Threshold,Non-Ref,0.084,0.0737,0.61,0.08,,0.004,3.43,,
03T-JHN,44.374967,-71.61986,2014,66.15110393,64.5,Above_Threshold,Non-Ref,0.0685,0.04905,0.52,0.0455,,0.004,2.925,,
04-COB,43.830623,-71.032876,2018,81.49006508,67.1,Above_Threshold,Ref,0.065,0.0155,0.08,0.062,,0.002,,,
04-FHC,43.21148,-70.8491,2011,52.05966191,59,Below_Threshold,Non-Ref,0.16,0.053,0.27,0.16,,0.005,,,
04-GTK,42.81827,-71.649835,2012,50.54215401,59,Below_Threshold,Non-Ref,0.082,0.029,0.4,0.074,,0.005,,,
04-MWB,42.915061,-72.236787,2016,68.36134898,63.56,Above_Threshold,Non-Ref,0.25,0.0139,0.3,0.25,,0.004,,,
04-PFB,43.555392,-71.363936,2013,70.92126831,65.18,Above_Threshold,Non-Ref,0.011,0.0105,0.015,,,,,,
04-SBB,44.683612,-71.53481,2013,89.22459484,66.08,Above_Threshold,Non-Ref,0.082,0.009445,0.015,0.0795,,0.004,,,
04-SBB,44.683612,-71.53481,2014,93.06765503,66.08,Above_Threshold,Non-Ref,0.1695,0.00658,,0.011,,0.004,,,
04-SBB,44.683612,-71.53481,2015,73.62796324,66.08,Above_Threshold,Non-Ref,0.115,0.009125,0.1475,0.12,,0.004,,,
04-SBB,44.683612,-71.53481,2016,79.15947502,66.08,Above_Threshold,Non-Ref,0.1135,0.00944,0.038,0.1105,,0.004,,,
04-SBB,44.683612,-71.53481,2017,78.41306861,66.08,Above_Threshold,Non-Ref,0.082,0.0103,0.08,0.079,,0.002,,,
04-SBB,44.683612,-71.53481,2018,89.46898966,66.08,Above_Threshold,Non-Ref,0.0835,0.008955,0.165,0.081,,0.002,,,
04-SNY,43.851458,-71.091383,2016,63.08622867,65.77,Below_Threshold,Ref,0.011,0.0246,0.038,0.011,,0.004,,,
04-TKR,43.169395,-71.533356,2017,67.05177885,60.38,Above_Threshold,Non-Ref,0.18,0.0357,0.49,0.17,,0.002,,,
05-ACA,43.365527,-71.437697,2011,71.16091614,61.36,Above_Threshold,Non-Ref,0.002,0.023,0.36,0.003,,0.005,,,
05-BLB,43.11183,-72.3999,2011,74.06953431,61.75,Above_Threshold,Non-Ref,0.11,0.0073,0.015,0.11,,0.005,,,
05-BLD,43.56056,-72.262031,2010,64.05577113,64.5,Below_Threshold,Non-Ref,0.17,0.0285,0.07,0.19,,0.005,,,
05-BLD,43.56056,-72.262031,2011,65.57892795,64.5,Above_Threshold,Non-Ref,0.16,0.019,0.015,0.155,,0.005,,,
05-BLD,43.56056,-72.262031,2012,62.04022985,64.5,Below_Threshold,Non-Ref,0.23,0.031,0.015,0.22,,0.005,,,
05-NWL,44.68702,-71.2262,2013,93.29549161,72,Above_Threshold,Ref,0.0365,0.0127,0.1825,0.0335,,0.004,,,
05-NWL,44.68702,-71.2262,2014,91.27225388,72,Above_Threshold,Ref,0.088,0.0094,0.29,0.011,,0.004,,,
05-NWL,44.68702,-71.2262,2015,88.52713346,72,Above_Threshold,Ref,0.1135,0.01225,0.1625,0.24,,0.004,,,
05-NWL,44.68702,-71.2262,2016,66.72957706,72,Below_Threshold,Ref,0.18,0.00918,0.038,0.18,,0.004,,,
05-NWL,44.68702,-71.2262,2017,86.11162489,72,Above_Threshold,Ref,0.0775,0.01105,0.08,0.073,,0.002,,,
05-NWL,44.68702,-71.2262,2018,85.29778885,72,Above_Threshold,Ref,0.1005,0.009005,0.185,0.099,,0.002,,,
05-OVB,44.028235,-71.979341,2013,79.0131103,64.5,Above_Threshold,Non-Ref,0.0725,0.01238,,,,,,,
05-SMS,44.868168,-71.503934,2013,84.70908293,72,Above_Threshold,Non-Ref,0.0855,0.00643,0.1425,0.0805,,0.004,,,
05-SMS,44.868168,-71.503934,2016,80.23202479,72,Above_Threshold,Non-Ref,0.0895,0.00691,0.038,0.0855,,0.004,,,
05-SMS,44.868168,-71.503934,2017,83.06033239,72,Above_Threshold,Non-Ref,0.072,0.00914,0.08,0.068,,0.002,,,
05-SMS,44.868168,-71.503934,2018,71.36765845,72,Below_Threshold,Non-Ref,0.103,0.00977,0.08,0.1015,,0.002,,,
05-SOP,42.9431,-71.7283,2010,72.55793459,60.87,Above_Threshold,Non-Ref,0.06,0.017,0.07,0.0355,,0.0045,,,
05-STI,43.812986,-71.809362,2017,89.28555072,64.5,Above_Threshold,Non-Ref,0.054,0.00536,0.08,0.003,,0.002,,,
05-UAM,44.625283,-71.469672,2014,74.95265394,64.5,Above_Threshold,Non-Ref,0.094,0.0101,0.72,0.091,,0.004,,,
05M-300,44.053147,-71.647829,2005,70.11698462,68.25,Above_Threshold,Ref,,0.005,,,,,,0.05,
05M-301,44.051413,-71.624409,2005,69.42913013,72,Below_Threshold,Not_Eval,,0.006,,,,,,0.05,
05M-302,44.05153,-71.64059,2005,78.79018167,72,Above_Threshold,Non-Ref,,0.005,,,,,,0.05,
05M-303,44.045905,-71.652302,2005,55.37431731,69.53,Below_Threshold,Not_Eval,,0.024,,,,,,0.05,
05M-304,44.047697,-71.61933,2005,69.14632786,72,Below_Threshold,Not_Eval,,0.007,,,,,,0.05,
05P-402,43.368981,-71.03851,2005,57.32854414,59.72,Below_Threshold,Non-Ref,,0.026,0.4,,,,,0.05,
05P-406,43.388341,-71.069157,2005,55.68297401,59.99,Below_Threshold,Non-Ref,,0.0185,0.4,,,,,0.05,
06-EBS,44.121906,-71.130312,2013,84.33411026,68.25,Above_Threshold,Non-Ref,0.011,0.002985,,0.011,,0.004,,,
06-EBS,44.121906,-71.130312,2014,82.90561406,68.25,Above_Threshold,Non-Ref,0.011,0.002875,,0.011,,0.004,,,
06-EBS,44.121906,-71.130312,2015,69.51233139,68.25,Above_Threshold,Non-Ref,0.011,0.006835,0.015,0.011,,0.004,,,
06-EBS,44.121906,-71.130312,2016,62.07756203,68.25,Below_Threshold,Non-Ref,0.011,0.001,0.038,0.011,,0.004,,,
06-EBS,44.121906,-71.130312,2017,88.0613822,68.25,Above_Threshold,Non-Ref,0.002,0.00064,0.08,0.003,,0.002,,,
06-EBS,44.121906,-71.130312,2018,68.23038232,68.25,Below_Threshold,Non-Ref,0.002,0.0081,0.08,0.003,,0.002,,,
06-HEW,43.773534,-72.183565,2015,69.10529189,64.5,Above_Threshold,Non-Ref,0.13,0.00752,0.015,0.099,,0.004,,,
06-PFB,43.54959,-71.359506,2013,72.53058073,65.1,Above_Threshold,Non-Ref,0.011,0.0106,0.1325,,,,,,
06-SBR,43.818757,-71.930494,2013,57.70796088,64.5,Below_Threshold,Non-Ref,0.011,0.00833,0.1525,0.011,,0.004,,,
06-SBR,43.818757,-71.930494,2014,77.3656168,64.5,Above_Threshold,Non-Ref,0.081,0.0064,,0.074,,0.004,,,
06-SBR,43.818757,-71.930494,2015,74.88516518,64.5,Above_Threshold,Non-Ref,0.0985,0.00934,0.1475,0.095,,0.004,,,
06-SBR,43.818757,-71.930494,2016,87.94205935,64.5,Above_Threshold,Non-Ref,0.011,0.0168,0.395,0.011,,0.004,,,
06-SBR,43.818757,-71.930494,2017,77.10112483,64.5,Above_Threshold,Non-Ref,0.0845,0.00721,0.08,0.063,,0.002,,,
06-SBR,43.818757,-71.930494,2018,74.68601338,64.5,Above_Threshold,Non-Ref,0.0635,0.008825,0.08,0.061,,0.002,,,
06A-BVR,42.7742,-71.35,2012,59.94765434,59,Above_Threshold,Non-Ref,0.27,0.017,0.4,0.27,,0.005,,,
06c-101,43.174452,-72.33519,2006,40.30736087,64.5,Below_Threshold,Non-Ref,0.48,0.042,0.34,0.51,,,2.66,0.11,0.0325
06c-17,43.69083,-72.26794,2011,64.28466778,63.35,Above_Threshold,Non-Ref,0.087,0.00765,0.015,0.086,,0.005,,,
06M-101,42.8912,-71.3113,2006,49.61836374,59,Below_Threshold,Non-Ref,0.15,0.016,0.4,,,,4.69,,
06m-102,43.376436,-71.666863,2006,73.5607421,61.75,Above_Threshold,Non-Ref,,0.013,0.3,,,,10.93,,
06m-103,42.7828,-71.6036,2006,69.6242741,59,Above_Threshold,Non-Ref,0.23,0.016,0.37,,,,2.32,0.05,
06m-104,42.899787,-71.93693,2006,67.08433798,62.9,Above_Threshold,Non-Ref,0.22,0.03,0.31,,,,,,0.011
06m-105,43.255144,-71.454679,2006,60.78715793,60.65,Above_Threshold,Non-Ref,0.24,0.019,0.3,,,,1.78,,
06m-11,43.26778,-71.9674,2008,73.84607938,64.5,Above_Threshold,Non-Ref,0.12,0.012,0.33,,,,,,0.005
06p-101,42.9843,-71.0398,2006,51.49714169,59,Below_Threshold,Non-Ref,0.12,0.029,0.4,,,,1.45,0.05,
06p-102,43.07088,-70.774118,2006,55.37592139,59,Below_Threshold,Non-Ref,0.295,0.053,0.6,,,,3.44,0.1,0.01
06P-SBA,42.861633,-72.204996,2011,79.40588158,63.73,Above_Threshold,Non-Ref,0.0855,0.037,0.31,0.0785,,0.005,,,
06s-101,43.9078,-71.2896,2006,65.97374544,68.25,Below_Threshold,Ref,0.1,0.0075,,,,,0.33,,
06s-101,43.9078,-71.2896,2012,65.4253848,68.25,Below_Threshold,Ref,,5.00E-04,0.015,,,,,,
07-BLM,43.174438,-70.91779,2013,47.79227207,59,Below_Threshold,Non-Ref,0.083,0.0197,0.31,0.0415,,0.004,,,
07-BLM,43.174438,-70.91779,2014,49.90542944,59,Below_Threshold,Non-Ref,0.095,0.0191,0.32,0.011,,0.004,,,
07-BLM,43.174438,-70.91779,2015,48.50188683,59,Below_Threshold,Non-Ref,0.099,0.02305,0.315,0.15,,0.004,,,
07-BLM,43.174438,-70.91779,2016,55.57310551,59,Below_Threshold,Non-Ref,0.145,0.02935,0.305,0.14,,0.004,,,
07-BLM,43.174438,-70.91779,2017,40.89747413,59,Below_Threshold,Non-Ref,0.1045,0.0222,0.39,0.095,,0.002,,,
07-BLM,43.174438,-70.91779,2018,42.52298991,59,Below_Threshold,Non-Ref,0.0635,0.0259,0.365,0.06,,0.002,,,
07-BWB,42.9664,-71.5051,2012,62.45124909,59,Above_Threshold,Non-Ref,0.44,0.031,0.45,0.44,,0.005,,,
07-FLT,42.726617,-71.556219,2013,63.59537191,59,Above_Threshold,Non-Ref,0.705,0.014565,0.3,0.38,,0.004,1.56,,
07-FLT,42.726617,-71.556219,2014,46.11239088,59,Below_Threshold,Non-Ref,1.1,0.00857,0.48,1.3,,0.004,12.09,,
07-FLT,42.726617,-71.556219,2015,50.57771638,59,Below_Threshold,Non-Ref,0.87,0.0144,0.015,1.1,,0.004,3.79,,
07-FLT,42.726617,-71.556219,2016,49.90615955,59,Below_Threshold,Non-Ref,1.7,0.006135,0.038,1.7,,0.004,,,
07-FLT,42.726617,-71.556219,2017,59.73260346,59,Above_Threshold,Non-Ref,1.1,0.009305,0.08,0.96,,0.002,,,
07-FLT,42.726617,-71.556219,2018,52.59497816,59,Below_Threshold,Non-Ref,0.83,0.018295,0.08,0.825,,0.002,,,
07M-203,42.859785,-71.492978,2013,40.29799464,59,Below_Threshold,Non-Ref,0.3,0.03485,0.34,0.2175,,0.004,1.97,,
07M-205,42.861841,-71.491807,2013,29.52078686,59,Below_Threshold,Non-Ref,0.3,0.03485,0.34,0.2175,,0.004,1.97,,
07p-17,43.1471,-70.9655,2007,69.49675589,59,Above_Threshold,Non-Ref,,,,0.09,,,,,0.005
07R-SNO,43.9136,-71.053501,2017,87.3118846,68.25,Above_Threshold,Non-Ref,0.051,0.01125,0.18,0.003,,0.002,,,
07T-ISG,43.23822,-71.07663,2013,41.6465249,59,Below_Threshold,Non-Ref,0.011,0.0194,0.33,0.011,,0.004,,,
07T-ISG,43.23822,-71.07663,2014,52.94449845,59,Below_Threshold,Non-Ref,0.036,0.02165,0.34,0.034,,0.004,,,
07T-ISG,43.23822,-71.07663,2015,52.01874049,59,Below_Threshold,Non-Ref,0.0355,0.0206,0.505,0.092,,0.004,,,
07T-ISG,43.23822,-71.07663,2016,48.34956035,59,Below_Threshold,Non-Ref,0.011,0.024,0.345,0.011,,0.004,,,
07T-ISG,43.23822,-71.07663,2017,49.18509278,59,Below_Threshold,Non-Ref,0.0265,0.0195,0.45,0.003,,0.002,,,
07T-ISG,43.23822,-71.07663,2018,53.30106766,59,Below_Threshold,Non-Ref,0.002,0.0244,0.22,0.003,,0.002,,,
07X-SNK,43.278097,-71.348835,2010,54.37935881,60.38,Below_Threshold,Non-Ref,0.005,0.065,0.26,0.007,,0.005,,,
08-BCK,42.9573,-72.3289,2012,43.56625088,62.9,Below_Threshold,Non-Ref,0.485,0.022,0.515,0.475,,0.005,,,
08-SHG,42.829475,-71.60945,2012,62.90423701,59,Above_Threshold,Non-Ref,0.36,0.0605,0.32,0.35,,0.005,,,
08C-01,42.9208,-72.276,2008,46.80290283,62.08,Below_Threshold,Non-Ref,0.079,0.024,0.37,,,,,,0.0044
08m-07,43.0104,-71.4781,2008,53.01979882,59,Below_Threshold,Non-Ref,,0.021,,,,,,,
08M-09,43.008397,-71.481786,2008,63.33646694,59,Above_Threshold,Non-Ref,,0.02,,,,,,,
09-CTC,43.222952,-71.714055,2013,60.35383564,61.48,Below_Threshold,Non-Ref,0.068,0.0236,0.33,,,,,,
09-OYS,43.14828,-70.96567,2013,44.69816914,59,Below_Threshold,Non-Ref,0.0455,0.0294,0.405,0.041,,0.004,,,
09-OYS,43.14828,-70.96567,2014,59.2262029,59,Above_Threshold,Non-Ref,0.13,0.0346,0.47,0.089,,0.004,,,
09-OYS,43.14828,-70.96567,2015,58.53470092,59,Below_Threshold,Non-Ref,0.0805,0.04145,0.605,0.11,,0.004,,,
09-OYS,43.14828,-70.96567,2016,47.41238354,59,Below_Threshold,Non-Ref,0.088,0.04365,0.525,0.0805,,0.004,,,
09-OYS,43.14828,-70.96567,2017,38.23623677,59,Below_Threshold,Non-Ref,0.115,0.03935,0.47,0.086,,0.002,,,
09-OYS,43.14828,-70.96567,2018,45.54997907,59,Below_Threshold,Non-Ref,0.068,0.04655,0.47,0.0635,,0.002,,,
09-SAC,44.102287,-71.178485,2013,67.72194508,63.68,Above_Threshold,Ref,0.0945,5.00E-04,,,,,,,
10-BBB,43.128251,-71.500986,2017,63.00166216,59.94,Above_Threshold,Non-Ref,0.002,0.015,0.26,0.003,,0.002,,,
10-BMD,43.510441,-72.280467,2011,43.77863411,64.5,Below_Threshold,Non-Ref,0.16,0.0165,0.015,0.16,,0.005,,,
10-HAS,45.09951,-71.45603,2017,65.12544895,71.4,Below_Threshold,Ref,0.0965,0.007,0.08,0.0955,,0.002,,,
10-WNR,43.267502,-71.918803,2013,60.57780706,64.5,Below_Threshold,Non-Ref,0.0335,0.010945,0.015,0.0755,,0.004,,,
10-WNR,43.267502,-71.918803,2014,68.26162854,64.5,Above_Threshold,Non-Ref,0.0455,0.0115,0.34,0.083,,0.004,,,
10-WNR,43.267502,-71.918803,2015,60.91108647,64.5,Below_Threshold,Non-Ref,0.0635,0.0113,0.015,0.065,,0.004,,,
10-WNR,43.267502,-71.918803,2016,61.9517193,64.5,Below_Threshold,Non-Ref,0.0375,0.0115,0.164,0.0365,,0.004,,,
10-WNR,43.267502,-71.918803,2017,47.28272318,64.5,Below_Threshold,Non-Ref,0.081,0.0104,0.08,0.078,,0.002,,,
10-WNR,43.267502,-71.918803,2018,64.51249907,64.5,Above_Threshold,Non-Ref,0.0725,0.01505,0.25,0.069,,0.002,,,
12-ASH,42.837961,-72.361026,2012,61.70236715,61.64,Above_Threshold,Non-Ref,0.35,0.021,0.88,0.35,,0.005,,,
14-ISR,44.41191,-71.49783,2013,73.16640872,64.5,Above_Threshold,Ref,0.0645,0.0132,0.015,0.1375,,0.004,0.86,,
14-ISR,44.41191,-71.49783,2014,77.73615366,64.5,Above_Threshold,Ref,0.115,0.0103,,0.098,0.21,0.004,,,
14-ISR,44.41191,-71.49783,2015,73.47766667,64.5,Above_Threshold,Ref,0.0585,0.0132,0.435,0.054,,0.004,,,
14-ISR,44.41191,-71.49783,2016,69.40022917,64.5,Above_Threshold,Ref,0.12,0.0124,0.038,0.12,,0.004,,,
14-ISR,44.41191,-71.49783,2017,78.37965259,64.5,Above_Threshold,Ref,0.076,0.01245,0.08,0.003,,0.002,,,
14-ISR,44.41191,-71.49783,2018,74.81158798,64.5,Above_Threshold,Ref,0.0305,0.0108,0.08,0.0295,,0.002,,,
15-CCH,43.247538,-70.956625,2011,65.11559076,59,Above_Threshold,Non-Ref,1.95,0.175,0.545,1.9,,0.005,,,
15-CCH,43.247538,-70.956625,2012,59.33751121,59,Above_Threshold,Non-Ref,4.5,0.35,0.795,4.5,,0.005,,,
15-CCH,43.247538,-70.956625,2013,63.99993047,59,Above_Threshold,Non-Ref,1.3,0.137,0.55,1.3,,0.004,,0.09,
15-CCH,43.247538,-70.956625,2016,45.99416587,59,Below_Threshold,Non-Ref,2.8,0.0531,0.7,2.4,,0.004,2.05,0.05,
15-EXT,42.984705,-71.038343,2013,59.40668241,59,Above_Threshold,Non-Ref,0.12,0.0191,0.35,0.0485,,0.004,,,
15-EXT,42.984705,-71.038343,2014,62.48264429,59,Above_Threshold,Non-Ref,0.175,0.02435,0.37,0.094,,0.004,,,
